,Unnamed: 0,player,espn,dk_name
0,1,Aaron Rodgers,24.494,Aaron Rodgers
1,2,Tom Brady,27.378,Tom Brady
2,3,Andy Dalton,20.698,Andy Dalton
3,4,Drew Brees,22.432,Drew Brees
4,5,Blake Bortles,20.068,Blake Bortles
5,6,Cam Newton,19.822,Cam Newton
6,7,Derek Carr,19.448,Derek Carr
7,8,Todd Gurley,23.84,Todd Gurley
8,9,Eli Manning,18.374,Eli Manning
9,10,Peyton Manning,17.116,Peyton Manning
10,11,Kirk Cousins,17.902,Kirk Cousins
11,12,Carson Palmer,17.702,Carson Palmer
12,13,DeAngelo Williams,22.21,DeAngelo Williams
13,14,Russell Wilson,17.922,Russell Wilson
14,15,Ryan Fitzpatrick,18.572,Ryan Fitzpatrick
15,16,Brian Hoyer,20.268,Brian Hoyer
16,17,DeMarco Murray,19.38,DeMarco Murray
17,18,Joe Flacco,17.094,Joe Flacco
18,19,Tyrod Taylor,16.968,Tyrod Taylor
19,20,Ryan Tannehill,16.524,Ryan Tannehill
20,21,Justin Forsett,18.22,Justin Forsett
21,22,Matthew Stafford,17.448,Matthew Stafford
22,23,Johnny Manziel,17.668,Johnny Manziel
23,24,Marcus Mariota,16.796,Marcus Mariota
24,25,Sam Bradford,15.928,Sam Bradford
25,26,Darren McFadden,18.64,Darren McFadden
26,27,Alex Smith,15.25,Alex Smith
27,28,Jay Cutler,14.978,Jay Cutler
28,29,Mark Ingram,18.03,Mark Ingram
29,30,Adrian Peterson,16.57,Adrian Peterson
30,31,Randall Cobb,19.11,Randall Cobb
31,32,Teddy Bridgewater,15.292,Teddy Bridgewater
32,33,A.J. Green,18.72,A.J. Green
33,34,Chris Ivory,15.09,Chris Ivory
34,35,Landry Jones,14.69,Landry Jones
35,36,DeAndre Hopkins,23.47,DeAndre Hopkins
36,37,Odell Beckham Jr.,20.07,Odell Beckham Jr.
37,38,Demaryius Thomas,19.5,Demaryius Thomas
38,40,Matt Cassel,14.886,Matt Cassel
39,42,LeGarrette Blount,12.88,LeGarrette Blount
40,43,Jameis Winston,13.038,Jameis Winston
41,44,Julian Edelman,19.47,Julian Edelman
42,45,Jonathan Stewart,12.61,Jonathan Stewart
43,46,Emmanuel Sanders,17.46,Emmanuel Sanders
44,47,Allen Robinson,18.17,Allen Robinson
45,48,Rob Gronkowski,17.45,Rob Gronkowski
46,49,Marshawn Lynch,14.61,Marshawn Lynch
