,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Tom Brady,PHI,322.0,5.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,33.18,0.0,0,0
1,1,Cam Newton,@NO,212.0,2.0,1.0,40.0,2.0,0.0,0.0,0,0.0,0.0,30.48,0.0,0,0
2,2,Devonta Freeman,@TB,0.0,0.0,0.0,93.0,2.0,38.0,1.0,0,0.0,1.0,29.1,3.8,0,0
3,3,Marcus Mariota,JAC,227.0,3.0,1.0,32.0,1.0,0.0,0.0,0,0.0,0.0,28.28,0.0,0,0
4,4,Aaron Rodgers,@DET,292.0,3.0,0.0,11.0,0.0,0.0,0.0,0,0.0,0.0,24.78,0.0,0,0
5,5,Russell Wilson,@MIN,191.0,2.0,1.0,44.0,1.0,0.0,0.0,0,0.0,0.0,24.04,0.0,0,0
6,6,Matt Cassel,@WAS,169.0,4.0,1.0,8.0,0.0,0.0,0.0,0,1.0,0.0,23.56,0.0,0,0
7,7,Dez Bryant,@WAS,0.0,0.0,0.0,0.0,0.0,108.0,2.0,0,0.0,0.0,22.8,10.8,0,0
8,8,T.J. Yeldon,@TEN,0.0,0.0,0.0,86.0,2.0,14.0,0.0,0,0.0,0.0,22.0,1.4,0,0
9,9,Blake Bortles,@TEN,214.0,2.0,2.0,30.0,1.0,0.0,0.0,0,0.0,0.0,21.56,0.0,0,0
10,10,Matt Ryan,@TB,317.0,3.0,2.0,8.0,0.0,0.0,0.0,0,0.0,0.0,21.48,0.0,0,0
11,11,Brock Osweiler,@SD,253.0,3.0,1.0,13.0,0.0,0.0,0.0,0,0.0,0.0,21.42,0.0,0,0
12,12,Giovani Bernard,@CLE,0.0,0.0,0.0,68.0,2.0,26.0,0.0,0,0.0,0.0,21.4,2.6,0,0
13,13,Ben Roethlisberger,IND,264.0,3.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,20.76,0.0,0,0
14,14,Thomas Rawls,@MIN,0.0,0.0,0.0,110.0,1.0,31.0,0.0,0,0.0,0.0,20.1,3.1,0,0
15,15,Drew Brees,CAR,286.0,3.0,2.0,3.0,0.0,0.0,0.0,0,0.0,0.0,19.74,0.0,0,0
16,16,Eli Manning,NYJ,238.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,19.62,0.0,0,0
