,Unnamed: 0,player,espn,dk_name
0,1,Andrew Luck,22.952,Andrew Luck
1,2,Carson Palmer,20.658,Carson Palmer
2,3,Philip Rivers,23.924,Philip Rivers
3,4,Tom Brady,20.258,Tom Brady
4,5,Russell Wilson,20.292,Russell Wilson
5,6,Cam Newton,19.424,Cam Newton
6,7,Todd Gurley,22.66,Todd Gurley
7,8,Devonta Freeman,21.78,Devonta Freeman
8,9,Matthew Stafford,22.314,Matthew Stafford
9,10,Ryan Tannehill,19.194,Ryan Tannehill
10,11,Blake Bortles,21.648,Blake Bortles
11,12,Eli Manning,18.016,Eli Manning
12,13,Drew Brees,21.812,Drew Brees
13,14,Le'Veon Bell,19.85,Le'Veon Bell
14,15,Adrian Peterson,17.86,Adrian Peterson
15,16,Alex Smith,16.712,Alex Smith
16,17,Matt Ryan,16.994,Matt Ryan
17,18,Joe Flacco,17.304,Joe Flacco
18,19,Teddy Bridgewater,16.398,Teddy Bridgewater
19,20,Zach Mettenberger,17.448,Zach Mettenberger
20,21,Ryan Fitzpatrick,17.282,Ryan Fitzpatrick
21,22,LeSean McCoy,17.61,LeSean McCoy
22,23,Derek Carr,15.566,Derek Carr
23,24,Colin Kaepernick,16.298,Colin Kaepernick
24,25,Sam Bradford,16.782,Sam Bradford
25,26,Marshawn Lynch,16.35,Marshawn Lynch
26,27,Nick Foles,15.498,Nick Foles
27,28,Brian Hoyer,14.092,Brian Hoyer
28,29,Arian Foster,17.01,Arian Foster
29,30,Latavius Murray,15.61,Latavius Murray
30,31,DeAndre Hopkins,23.48,DeAndre Hopkins
31,32,Kirk Cousins,14.244,Kirk Cousins
32,33,Larry Fitzgerald,18.93,Larry Fitzgerald
33,34,Lamar Miller,15.94,Lamar Miller
34,35,Josh McCown,15.548,Josh McCown
35,36,EJ Manuel,14.046,EJ Manuel
36,37,Justin Forsett,16.99,Justin Forsett
37,38,Jameis Winston,13.898,Jameis Winston
38,40,Calvin Johnson,18.07,Calvin Johnson
39,42,Matt Cassel,14.652,Matt Cassel
40,43,Frank Gore,14.21,Frank Gore
41,44,Chris Ivory,15.69,Chris Ivory
42,45,Landry Jones,13.694,Landry Jones
43,46,Keenan Allen,17.74,Keenan Allen
44,47,Odell Beckham Jr.,18.15,Odell Beckham Jr.
45,48,Julio Jones,17.78,Julio Jones
46,49,Mark Ingram,14.84,Mark Ingram
47,50,DeMarco Murray,16.18,DeMarco Murray
48,51,Brandon Marshall,18.08,Brandon Marshall
49,52,Allen Robinson,16.99,Allen Robinson
50,53,Doug Martin,12.46,Doug Martin
51,54,Rob Gronkowski,15.93,Rob Gronkowski
52,55,Julian Edelman,17.99,Julian Edelman
53,56,Matt Jones,14.4,Matt Jones
