,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Aaron Rodgers,CHI,326.0,3.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,26.64,0.0,0,0
1,1,Tom Brady,@DEN,297.0,3.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,24.08,0.0,0,0
2,2,Drew Brees,@HOU,315.0,3.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,22.9,0.0,0,0
3,3,Cam Newton,@DAL,207.0,1.0,1.0,32.0,1.0,0.0,0.0,0,0.0,0.0,19.48,0.0,0,0
4,4,Mark Sanchez,@DET,142.0,2.0,1.0,14.0,1.0,0.0,0.0,0,0.0,0.0,19.08,0.0,0,0
5,5,Matt Ryan,MIN,303.0,2.0,1.0,7.0,0.0,0.0,0.0,0,0.0,0.0,18.82,0.0,0,0
6,6,Russell Wilson,PIT,215.0,2.0,1.0,39.0,0.0,0.0,0.0,0,0.0,0.0,18.5,0.0,0,0
7,7,Marcus Mariota,OAK,232.0,2.0,1.0,28.0,0.0,0.0,0.0,0,0.0,0.0,18.08,0.0,0,0
8,8,Philip Rivers,@JAC,288.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,17.72,0.0,0,0
9,9,A.J. Green,STL,0.0,0.0,0.0,2.0,0.0,112.0,1.0,0,0.0,0.0,17.4,11.2,0,0
10,10,Ryan Tannehill,@NYJ,242.0,2.0,1.0,17.0,0.0,0.0,0.0,0,0.0,0.0,17.38,0.0,0,0
11,11,Ryan Fitzpatrick,MIA,257.0,2.0,1.0,10.0,0.0,0.0,0.0,0,0.0,0.0,17.28,0.0,0,0
12,12,Blake Bortles,SD,220.0,2.0,1.0,24.0,0.0,0.0,0.0,0,0.0,0.0,17.2,0.0,0,0
13,13,Odell Beckham,@WAS,0.0,0.0,0.0,5.0,0.0,105.0,1.0,0,0.0,0.0,17.0,10.5,0,0
14,14,Adrian Peterson,@ATL,0.0,0.0,0.0,111.0,1.0,18.0,0.0,0,0.0,1.0,16.9,1.8,0,0
15,15,Ben Roethlisberger,@SEA,266.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,16.84,0.0,0,0
16,16,Derek Carr,@TEN,258.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,16.82,0.0,0,0
