,Unnamed: 0,player,espn,dk_name
0,1,Tom Brady,22.592,Tom Brady
1,2,Devonta Freeman,29.31,Devonta Freeman
2,3,Philip Rivers,24.258,Philip Rivers
3,4,Cam Newton,20.422,Cam Newton
4,5,Aaron Rodgers,20.898,Aaron Rodgers
5,6,Ben Roethlisberger,23.16,Ben Roethlisberger
6,7,Drew Brees,19.702,Drew Brees
7,8,Eli Manning,19.078,Eli Manning
8,9,Andy Dalton,19.204,Andy Dalton
9,10,Peyton Manning,21.016,Peyton Manning
10,11,Tyrod Taylor,17.886,Tyrod Taylor
11,12,Andrew Luck,18.934,Andrew Luck
12,13,Matt Ryan,18.26,Matt Ryan
13,14,Ryan Tannehill,17.098,Ryan Tannehill
14,15,Ryan Fitzpatrick,17.574,Ryan Fitzpatrick
15,16,Antonio Brown,26.06,Antonio Brown
16,17,Marcus Mariota,18.13,Marcus Mariota
17,18,Jameis Winston,16.91,Jameis Winston
18,19,Blake Bortles,16.544,Blake Bortles
19,20,Derek Carr,16.942,Derek Carr
20,21,Jeremy Hill,15.0,Jeremy Hill
21,22,Johnny Manziel,16.932,Johnny Manziel
22,23,Jay Cutler,15.756,Jay Cutler
23,24,Mark Ingram,16.71,Mark Ingram
24,25,Todd Gurley,16.01,Todd Gurley
25,26,Sam Bradford,15.41,Sam Bradford
26,27,Kirk Cousins,15.382,Kirk Cousins
27,28,Darren McFadden,16.94,Darren McFadden
28,29,DeAngelo Williams,16.14,DeAngelo Williams
29,30,Julio Jones,20.78,Julio Jones
30,31,Chris Ivory,16.22,Chris Ivory
31,32,Doug Martin,15.51,Doug Martin
32,33,Odell Beckham Jr.,20.15,Odell Beckham Jr.
33,34,A.J. Green,17.55,A.J. Green
34,35,Demaryius Thomas,20.67,Demaryius Thomas
35,36,DeMarco Murray,16.27,DeMarco Murray
36,37,LeSean McCoy,15.6,LeSean McCoy
37,39,LeGarrette Blount,12.43,LeGarrette Blount
38,40,Jeremy Langford,15.35,Jeremy Langford
39,42,Blaine Gabbert,14.018,Blaine Gabbert
40,43,Jonathan Stewart,12.96,Jonathan Stewart
41,44,Alshon Jeffery,17.61,Alshon Jeffery
42,45,Lamar Miller,14.13,Lamar Miller
43,46,Randall Cobb,18.76,Randall Cobb
44,47,Rob Gronkowski,16.18,Rob Gronkowski
45,48,Mike Evans,16.83,Mike Evans
46,50,Emmanuel Sanders,17.73,Emmanuel Sanders
47,51,Teddy Bridgewater,12.686,Teddy Bridgewater
48,53,Matt Cassel,13.312,Matt Cassel
49,54,Brandon Marshall,17.04,Brandon Marshall
50,55,Antonio Andrews,11.82,Antonio Andrews
51,56,Giovani Bernard,13.15,Giovani Bernard
52,57,Ronnie Hillman,13.07,Ronnie Hillman
53,59,Adrian Peterson,13.99,Adrian Peterson
54,60,Michael Crabtree,15.74,Michael Crabtree
55,61,Julian Edelman,17.33,Julian Edelman
56,62,Dion Lewis,15.21,Dion Lewis
57,63,Nick Foles,11.44,Nick Foles
58,64,Martavis Bryant,13.75,Martavis Bryant
59,67,Greg Olsen,15.16,Greg Olsen
60,69,Dez Bryant,14.77,Dez Bryant
61,70,Frank Gore,13.18,Frank Gore
62,71,Latavius Murray,11.77,Latavius Murray
63,72,Sammy Watkins,12.92,Sammy Watkins
64,73,Antonio Gates,13.77,Antonio Gates
65,75,Eric Decker,14.0,Eric Decker
66,76,Danny Woodhead,13.94,Danny Woodhead
67,77,Stevie Johnson,13.56,Stevie Johnson
68,78,Jarvis Landry,15.02,Jarvis Landry
69,79,Melvin Gordon,11.59,Melvin Gordon
70,83,Brandin Cooks,13.08,Brandin Cooks
71,86,Eddie Lacy,12.89,Eddie Lacy
72,88,Amari Cooper,13.99,Amari Cooper
73,89,Donte Moncrief,13.05,Donte Moncrief
74,92,Malcom Floyd,12.1,Malcom Floyd
75,93,Brandon LaFell,12.47,Brandon LaFell
76,101,Travis Benjamin,12.1,Travis Benjamin
77,103,Jordan Matthews,12.74,Jordan Matthews
78,105,Allen Hurns,13.37,Allen Hurns
79,106,Pierre Garcon,13.07,Pierre Garcon
80,113,Allen Robinson,11.87,Allen Robinson
81,114,DeSean Jackson,12.69,DeSean Jackson
82,116,Willie Snead,11.74,Willie Snead
83,117,C.J. Spiller,11.53,C.J. Spiller
84,118,T.J. Yeldon,10.91,T.J. Yeldon
85,121,Rueben Randle,11.11,Rueben Randle
86,124,James Jones,11.06,James Jones
87,126,Davante Adams,11.95,Davante Adams
88,128,Martellus Bennett,12.19,Martellus Bennett
89,129,C.J. Anderson,9.14,C.J. Anderson
90,130,Jordan Reed,12.83,Jordan Reed
91,131,Delanie Walker,12.11,Delanie Walker
92,132,Rishard Matthews,11.94,Rishard Matthews
93,133,Gary Barnidge,12.21,Gary Barnidge
94,136,Andre Johnson,10.84,Andre Johnson
95,137,Tavon Austin,10.54,Tavon Austin
96,138,Stefon Diggs,12.7,Stefon Diggs
97,139,Zach Ertz,10.72,Zach Ertz
98,141,Marvin Jones,10.39,Marvin Jones
99,144,Austin Seferian-Jenkins,10.81,Austin Seferian-Jenkins
100,145,Benjamin Watson,9.92,Benjamin Watson
101,146,Ted Ginn Jr.,10.3,Ted Ginn Jr.
102,147,Tyler Eifert,10.37,Tyler Eifert
103,149,Heath Miller,11.07,Heath Miller
104,151,Kendall Gaskins,8.17,Kendall Gaskins
105,152,Jordan Cameron,9.67,Jordan Cameron
106,154,Marques Colston,9.47,Marques Colston
107,155,Robert Woods,9.86,Robert Woods
108,156,Harry Douglas,9.51,Harry Douglas
109,157,Charles Clay,9.78,Charles Clay
110,158,Jacob Tamme,10.05,Jacob Tamme
111,159,Dontrelle Inman,9.84,Dontrelle Inman
112,160,Duke Johnson Jr.,11.04,Duke Johnson Jr.
113,161,Justin Hunter,9.01,Justin Hunter
114,162,Rashad Jennings,7.8,Rashad Jennings
115,163,Coby Fleener,9.58,Coby Fleener
116,165,Charles Sims,10.33,Charles Sims
117,166,Griff Whalen,8.43,Griff Whalen
118,167,Dexter McCluster,9.4,Dexter McCluster
119,168,Julius Thomas,10.43,Julius Thomas
120,169,Jason Witten,9.82,Jason Witten
121,170,Markus Wheaton,8.46,Markus Wheaton
122,171,Torrey Smith,8.79,Torrey Smith
123,172,Richard Rodgers,9.83,Richard Rodgers
124,173,Taylor Gabriel,9.1,Taylor Gabriel
