,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Aaron Rodgers,@MIN,307.0,3.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,25.88,0.0,0,0
1,1,Jeremy Langford,DEN,0.0,0.0,0.0,77.0,1.0,47.0,1.0,0,0.0,0.0,24.4,4.7,0,0
2,2,Tom Brady,BUF,291.0,3.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,23.94,0.0,0,0
3,3,Cam Newton,WAS,216.0,2.0,1.0,32.0,1.0,0.0,0.0,0,0.0,0.0,23.84,0.0,0,0
4,4,Mark Sanchez,TB,145.0,2.0,1.0,16.0,1.0,0.0,0.0,0,0.0,0.0,19.4,0.0,0,0
5,5,Matt Ryan,IND,312.0,2.0,1.0,7.0,0.0,0.0,0.0,0,0.0,0.0,19.18,0.0,0,0
6,6,Devonta Freeman,IND,0.0,0.0,0.0,91.0,1.0,38.0,0.0,0,0.0,0.0,18.9,3.8,0,0
7,7,Russell Wilson,SF,209.0,2.0,1.0,39.0,0.0,0.0,0.0,0,0.0,0.0,18.26,0.0,0,0
8,8,Carson Palmer,CIN,297.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,18.18,0.0,0,0
9,9,Marcus Mariota,@JAC,231.0,2.0,1.0,28.0,0.0,0.0,0.0,0,0.0,0.0,18.04,0.0,0,0
10,10,Ryan Fitzpatrick,@HOU,268.0,2.0,1.0,10.0,0.0,0.0,0.0,0,0.0,0.0,17.72,0.0,0,0
11,11,Blake Bortles,TEN,226.0,2.0,1.0,26.0,0.0,0.0,0.0,0,0.0,0.0,17.64,0.0,0,0
12,12,A.J. Green,@ARI,0.0,0.0,0.0,2.0,0.0,112.0,1.0,0,0.0,0.0,17.4,11.2,0,0
13,13,Philip Rivers,KC,280.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,17.4,0.0,0,0
14,14,Ryan Tannehill,DAL,239.0,2.0,1.0,18.0,0.0,0.0,0.0,0,0.0,0.0,17.36,0.0,0,0
15,15,Brock Osweiler,@CHI,180.0,3.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,17.3,0.0,0,0
16,16,Joe Flacco,STL,269.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,17.26,0.0,0,0
17,17,Julio Jones,IND,0.0,0.0,0.0,1.0,0.0,110.0,1.0,0,0.0,0.0,17.1,11.0,0,0
18,18,Adrian Peterson,GB,0.0,0.0,0.0,111.0,1.0,17.0,0.0,0,0.0,1.0,16.8,1.7,0,0
19,19,Andy Dalton,@ARI,241.0,2.0,1.0,10.0,0.0,0.0,0.0,0,0.0,0.0,16.64,0.0,0,0
20,20,Derek Carr,@DET,254.0,2.0,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,16.56,0.0,0,0
21,21,Demaryius Thomas,@CHI,0.0,0.0,0.0,0.0,0.0,105.0,1.0,0,0.0,0.0,16.5,10.5,0,0
22,22,Dez Bryant,@MIA,0.0,0.0,0.0,0.0,0.0,104.0,1.0,0,0.0,0.0,16.4,10.4,0,0
23,23,Kirk Cousins,@CAR,240.0,2.0,1.0,6.0,0.0,0.0,0.0,0,0.0,0.0,16.2,0.0,0,0
24,24,Emmanuel Sanders,@CHI,0.0,0.0,0.0,3.0,0.0,99.0,1.0,0,0.0,0.0,16.2,9.9,0,0
25,25,Alex Smith,@SD,216.0,2.0,1.0,14.0,0.0,0.0,0.0,0,0.0,0.0,16.04,0.0,0,0
26,26,Teddy Bridgewater,GB,207.0,2.0,1.0,17.0,0.0,0.0,0.0,0,0.0,0.0,15.98,0.0,0,0
27,27,Amari Cooper,@DET,0.0,0.0,0.0,0.0,0.0,99.0,1.0,0,0.0,0.0,15.9,9.9,0,0
28,28,Jay Cutler,DEN,227.0,2.0,1.0,8.0,0.0,0.0,0.0,0,0.0,0.0,15.88,0.0,0,0
29,29,Mike Evans,@PHI,0.0,0.0,0.0,0.0,0.0,97.0,1.0,0,0.0,0.0,15.7,9.7,0,0
30,30,Todd Gurley,@BAL,0.0,0.0,0.0,82.0,1.0,15.0,0.0,0,0.0,0.0,15.7,1.5,0,0
31,31,Justin Forsett,STL,0.0,0.0,0.0,76.0,1.0,20.0,0.0,0,0.0,0.0,15.6,2.0,0,0
32,32,Blaine Gabbert,@SEA,256.0,2.0,2.0,11.0,0.0,0.0,0.0,0,0.0,0.0,15.34,0.0,0,0
33,33,Matt Cassel,@MIA,163.0,2.0,1.0,8.0,0.0,0.0,0.0,0,1.0,0.0,15.32,0.0,0,0
34,34,Danny Woodhead,KC,0.0,0.0,0.0,46.0,0.0,45.0,1.0,0,0.0,0.0,15.1,4.5,0,0
35,35,DeAndre Hopkins,NYJ,0.0,0.0,0.0,0.0,0.0,89.0,1.0,0,0.0,0.0,14.9,8.9,0,0
36,36,Chris Ivory,@HOU,0.0,0.0,0.0,76.0,1.0,12.0,0.0,0,0.0,0.0,14.8,1.2,0,0
37,37,Eddie Lacy,@MIN,0.0,0.0,0.0,68.0,1.0,20.0,0.0,0,0.0,0.0,14.8,2.0,0,0
38,38,T.J. Yeldon,TEN,0.0,0.0,0.0,73.0,1.0,15.0,0.0,0,0.0,0.0,14.8,1.5,0,0
39,39,Case Keenum,@BAL,244.0,2.0,2.0,7.0,0.0,0.0,0.0,0,0.0,0.0,14.46,0.0,0,0
40,40,Rob Gronkowski,BUF,0.0,0.0,0.0,0.0,0.0,83.0,1.0,0,0.0,0.0,14.3,8.3,0,0
41,41,Jimmy Graham,SF,0.0,0.0,0.0,0.0,0.0,81.0,1.0,0,0.0,0.0,14.1,8.1,0,0
42,42,Giovani Bernard,@ARI,0.0,0.0,0.0,51.0,1.0,29.0,0.0,0,0.0,0.0,14.0,2.9,0,0
43,43,Randall Cobb,@MIN,0.0,0.0,0.0,6.0,0.0,72.0,1.0,0,0.0,0.0,13.8,7.2,0,0
44,44,Marshawn Lynch,SF,0.0,0.0,0.0,65.0,1.0,13.0,0.0,0,0.0,0.0,13.8,1.3,0,0
45,45,DeMarco Murray,TB,0.0,0.0,0.0,64.0,1.0,14.0,0.0,0,0.0,0.0,13.8,1.4,0,0
46,46,Alshon Jeffery,DEN,0.0,0.0,0.0,2.0,0.0,75.0,1.0,0,0.0,0.0,13.7,7.5,0,0
47,47,Tyler Eifert,@ARI,0.0,0.0,0.0,0.0,0.0,76.0,1.0,0,0.0,0.0,13.6,7.6,0,0
48,48,LeSean McCoy,@NE,0.0,0.0,0.0,63.0,1.0,13.0,0.0,0,0.0,0.0,13.6,1.3,0,0
