,Unnamed: 0,player,espn,dk_name
0,1,Tom Brady,22.018,Tom Brady
1,2,Philip Rivers,23.974,Philip Rivers
2,3,Cam Newton,21.044,Cam Newton
3,4,Devonta Freeman,24.29,Devonta Freeman
4,5,Matt Ryan,20.344,Matt Ryan
5,6,Alex Smith,18.596,Alex Smith
6,7,Ben Roethlisberger,22.428,Ben Roethlisberger
7,8,Andy Dalton,18.258,Andy Dalton
8,9,Aaron Rodgers,19.482,Aaron Rodgers
9,10,Justin Forsett,23.91,Justin Forsett
10,11,Eli Manning,18.58,Eli Manning
11,12,Drew Brees,22.646,Drew Brees
12,13,Ryan Tannehill,18.3,Ryan Tannehill
13,14,Le'Veon Bell,22.71,Le'Veon Bell
14,15,Carson Palmer,18.018,Carson Palmer
15,16,Todd Gurley,19.59,Todd Gurley
16,17,Andrew Luck,19.352,Andrew Luck
17,18,Matthew Stafford,17.74,Matthew Stafford
18,19,Matt Forte,20.01,Matt Forte
19,20,Russell Wilson,17.602,Russell Wilson
20,21,Peyton Manning,17.476,Peyton Manning
21,22,Zach Mettenberger,17.73,Zach Mettenberger
22,23,Joe Flacco,17.4,Joe Flacco
23,24,Ryan Fitzpatrick,18.266,Ryan Fitzpatrick
24,25,Brian Hoyer,16.744,Brian Hoyer
25,26,Julio Jones,21.78,Julio Jones
26,27,Josh McCown,16.81,Josh McCown
27,28,Jameis Winston,15.996,Jameis Winston
28,29,Derek Carr,15.998,Derek Carr
29,30,Antonio Brown,23.89,Antonio Brown
30,31,Colin Kaepernick,15.156,Colin Kaepernick
31,32,Matt Cassel,14.694,Matt Cassel
32,33,Jay Cutler,15.586,Jay Cutler
33,34,Adrian Peterson,16.48,Adrian Peterson
34,35,Nick Foles,15.128,Nick Foles
35,36,Teddy Bridgewater,15.35,Teddy Bridgewater
36,37,Chris Ivory,15.2,Chris Ivory
37,38,DeAndre Hopkins,19.76,DeAndre Hopkins
38,39,Emmanuel Sanders,18.79,Emmanuel Sanders
39,40,Mark Ingram,15.28,Mark Ingram
40,42,Demaryius Thomas,19.76,Demaryius Thomas
41,43,Keenan Allen,19.61,Keenan Allen
42,44,Marshawn Lynch,15.43,Marshawn Lynch
43,45,Chris Johnson,13.32,Chris Johnson
44,46,A.J. Green,17.55,A.J. Green
45,47,Mike Evans,16.53,Mike Evans
46,48,Odell Beckham Jr.,18.27,Odell Beckham Jr.
47,50,Jonathan Stewart,13.15,Jonathan Stewart
48,51,Rob Gronkowski,16.18,Rob Gronkowski
49,52,Doug Martin,14.38,Doug Martin
