,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Aaron Rodgers QB - GB View Videos,@DEN,307.0,3.0,0.0,15.0,0.0,0.0,0.0,0,0.0,0.0,25.78,0.0,0,0
1,1,Russell Wilson QB - SEA View Videos,@DAL,210.0,2.0,1.0,38.0,1.0,0.0,0.0,0,0.0,0.0,24.2,0.0,0,0
2,2,Cam Newton QB - CAR View Videos,IND,212.0,2.0,1.0,33.0,1.0,0.0,0.0,0,0.0,0.0,23.78,0.0,0,0
3,3,Tom Brady QB - NE View Videos,MIA,292.0,2.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,19.98,0.0,0,0
4,4,Le'Veon Bell RB - PIT View Videos,CIN,0.0,0.0,0.0,91.0,1.0,46.0,0.0,0,0.0,0.0,19.7,4.6,0,0
5,5,Matt Forte RB - CHI,MIN,0.0,0.0,0.0,89.0,1.0,45.0,0.0,0,0.0,0.0,19.4,4.5,0,0
6,6,Matt Ryan QB - ATL View Video,TB,313.0,2.0,1.0,7.0,0.0,0.0,0.0,0,0.0,0.0,19.22,0.0,0,0
7,7,Drew Brees QB - NO View Videos,NYG,315.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,18.9,0.0,0,0
8,8,Devonta Freeman RB - ATL View Videos,TB,0.0,0.0,0.0,89.0,1.0,38.0,0.0,0,0.0,0.0,18.7,3.8,0,0
9,9,Andrew Luck QB - IND View Video,@CAR,279.0,2.0,1.0,15.0,0.0,0.0,0.0,0,0.0,0.0,18.66,0.0,0,0
10,10,Carson Palmer QB - ARI View Videos,@CLE,296.0,2.0,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,18.24,0.0,0,0
11,11,Odell Beckham WR - NYG P View News View Video,@NO,0.0,0.0,0.0,6.0,0.0,113.0,1.0,0,0.0,0.0,17.9,11.3,0,0
12,12,Philip Rivers QB - SD View Video,@BAL,290.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,17.8,0.0,0,0
13,13,Ryan Tannehill QB - MIA View Video,@NE,245.0,2.0,1.0,18.0,0.0,0.0,0.0,0,0.0,0.0,17.6,0.0,0,0
14,14,A.J. Green WR - CIN View Videos,@PIT,0.0,0.0,0.0,2.0,0.0,113.0,1.0,0,0.0,0.0,17.5,11.3,0,0
15,15,Ben Roethlisberger QB - PIT P View News View Videos,CIN,280.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,17.4,0.0,0,0
16,16,Nick Foles QB - STL,SF,277.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0.0,0.0,17.38,0.0,0,0
17,17,Julio Jones WR - ATL View Video,TB,0.0,0.0,0.0,1.0,0.0,110.0,1.0,0,0.0,0.0,17.1,11.0,0,0
18,18,Joe Flacco QB - BAL View Videos,SD,262.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0.0,0.0,16.98,0.0,0,0
19,19,Josh McCown QB - CLE Q View News View Videos,ARI,240.0,2.0,1.0,13.0,0.0,0.0,0.0,0,0.0,0.0,16.9,0.0,0,0
20,20,Andy Dalton QB - CIN View Videos,@PIT,242.0,2.0,1.0,10.0,0.0,0.0,0.0,0,0.0,0.0,16.68,0.0,0,0
21,21,Adrian Peterson RB - MIN P View News View Videos,@CHI,0.0,0.0,0.0,108.0,1.0,18.0,0.0,0,0.0,1.0,16.6,1.8,0,0
22,22,Teddy Bridgewater QB - MIN View Videos,@CHI,223.0,2.0,1.0,16.0,0.0,0.0,0.0,0,0.0,0.0,16.52,0.0,0,0
23,23,Eli Manning QB - NYG View Video,@NO,257.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,0.0,16.48,0.0,0,0
24,24,Todd Gurley RB - STL View Videos,SF,0.0,0.0,0.0,86.0,1.0,15.0,0.0,0,0.0,0.0,16.1,1.5,0,0
25,25,Alex Smith QB - KC P View Videos,DET,219.0,2.0,1.0,13.0,0.0,0.0,0.0,0,0.0,0.0,16.06,0.0,0,0
26,26,Amari Cooper WR - OAK View Videos,NYJ,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0,0.0,0.0,16.0,10.0,0,0
27,27,Antonio Brown WR - PIT View Videos,CIN,0.0,0.0,0.0,2.0,0.0,97.0,1.0,0,0.0,0.0,15.9,9.7,0,0
28,28,Jay Cutler QB - CHI,MIN,227.0,2.0,1.0,8.0,0.0,0.0,0.0,0,0.0,0.0,15.88,0.0,0,0
29,29,Peyton Manning QB - DEN View Videos,GB,247.0,2.0,1.0,-1.0,0.0,0.0,0.0,0,0.0,0.0,15.78,0.0,0,0
30,30,Brian Hoyer QB - HOU,TEN,233.0,2.0,1.0,4.0,0.0,0.0,0.0,0,0.0,0.0,15.72,0.0,0,0
31,31,Randall Cobb WR - GB View Video,@DEN,0.0,0.0,0.0,7.0,0.0,90.0,1.0,0,0.0,0.0,15.7,9.0,0,0
32,32,Justin Forsett RB - BAL,SD,0.0,0.0,0.0,77.0,1.0,20.0,0.0,0,0.0,0.0,15.7,2.0,0,0
