,Unnamed: 0,player,nfl,dk_name
0,0,Aaron Rodgers,28.78,Aaron Rodgers
1,1,Russell Wilson,25.2,Russell Wilson
2,2,Cam Newton,24.78,Cam Newton
3,3,Tom Brady,19.98,Tom Brady
4,4,Le'Veon Bell,24.3,Le'Veon Bell
5,5,Matt Forte,23.9,Matt Forte
6,6,Matt Ryan,23.22,Matt Ryan
7,7,Drew Brees,22.9,Drew Brees
8,8,Devonta Freeman,22.5,Devonta Freeman
9,9,Andrew Luck,19.66,Andrew Luck
10,10,Carson Palmer,19.24,Carson Palmer
11,11,Odell Beckham,32.2,Odell Beckham Jr.
12,12,Philip Rivers,18.8,Philip Rivers
13,13,Ryan Tannehill,18.6,Ryan Tannehill
14,14,A.J. Green,31.8,A.J. Green
15,15,Ben Roethlisberger,18.4,Ben Roethlisberger
16,16,Nick Foles,18.38,Nick Foles
17,17,Julio Jones,31.1,Julio Jones
18,18,Joe Flacco,17.98,Joe Flacco
19,19,Josh McCown,17.9,Josh McCown
20,20,Andy Dalton,17.68,Andy Dalton
21,21,Adrian Peterson,22.4,Adrian Peterson
22,22,Teddy Bridgewater,17.52,Teddy Bridgewater
23,23,Eli Manning,17.48,Eli Manning
24,24,Todd Gurley,17.6,Todd Gurley
25,25,Alex Smith,17.06,Alex Smith
26,26,Amari Cooper,29.0,Amari Cooper
27,27,Antonio Brown,25.6,Antonio Brown
28,28,Jay Cutler,16.88,Jay Cutler
29,29,Peyton Manning,16.78,Peyton Manning
30,30,Brian Hoyer,16.72,Brian Hoyer
31,31,Randall Cobb,24.7,Randall Cobb
32,32,Justin Forsett,17.7,Justin Forsett
33,33,Demaryius Thomas,25.4,Demaryius Thomas
34,34,Mike Evans,25.2,Mike Evans
35,35,Ryan Fitzpatrick,16.28,Ryan Fitzpatrick
36,36,Danny Woodhead,19.8,Danny Woodhead
37,37,Matt Cassel,16.08,Matt Cassel
38,38,Chris Ivory,16.2,Chris Ivory
39,39,DeAndre Hopkins,23.8,DeAndre Hopkins
40,40,Eddie Lacy,17.0,Eddie Lacy
41,41,Alshon Jeffery,22.8,Alshon Jeffery
42,42,Emmanuel Sanders,22.6,Emmanuel Sanders
43,43,Rob Gronkowski,22.6,Rob Gronkowski
44,44,Keenan Allen,22.2,Keenan Allen
45,45,Giovani Bernard,16.9,Giovani Bernard
46,46,Tyler Eifert,21.4,Tyler Eifert
47,47,Dion Lewis,16.3,Dion Lewis
48,48,Marshawn Lynch,14.9,Marshawn Lynch
49,49,Stefon Diggs,21.0,Stefon Diggs
50,50,Ronnie Hillman,15.7,Ronnie Hillman
51,51,Jimmy Graham,20.6,Jimmy Graham
52,52,Matthew Stafford,14.2,Matthew Stafford
53,53,Brandon Marshall,20.2,Brandon Marshall
54,54,Mike Wallace,20.0,Mike Wallace
55,55,Eric Decker,19.8,Eric Decker
56,56,Darren McFadden,13.5,Darren McFadden
57,57,Brandin Cooks,18.8,Brandin Cooks
58,58,Gary Barnidge,19.4,Gary Barnidge
59,59,Julian Edelman,19.2,Julian Edelman
60,60,Doug Martin,13.6,Doug Martin
61,61,Martellus Bennett,19.2,Martellus Bennett
62,62,Delanie Walker,19.2,Delanie Walker
63,63,Jameis Winston,14.6,Jameis Winston
64,64,Martavis Bryant,18.7,Martavis Bryant
65,65,Dez Bryant,18.8,Dez Bryant
66,66,Larry Fitzgerald,18.8,Larry Fitzgerald
67,67,James Jones,18.6,James Jones
68,68,Jeremy Maclin,18.6,Jeremy Maclin
69,69,Mark Ingram,12.7,Mark Ingram
70,70,Marvin Jones,18.0,Marvin Jones
71,71,Latavius Murray,12.8,Latavius Murray
72,72,Travis Benjamin,17.4,Travis Benjamin
73,73,Marques Colston,17.6,Marques Colston
74,74,Jarvis Landry,17.4,Jarvis Landry
75,75,Anquan Boldin,17.4,Anquan Boldin
76,76,Larry Donnell,17.4,Larry Donnell
77,77,Austin Seferian-Jenkins,17.4,Austin Seferian-Jenkins
78,78,Vincent Jackson,16.8,Vincent Jackson
79,79,Brandon LaFell,16.6,NaN
80,80,C.J. Spiller,13.3,C.J. Spiller
81,81,Jason Witten,16.8,Jason Witten
82,82,Frank Gore,12.2,Frank Gore
83,83,Travis Kelce,16.6,Travis Kelce
84,84,Shane Vereen,14.1,Shane Vereen
85,85,Michael Crabtree,16.4,Michael Crabtree
86,86,LeGarrette Blount,11.3,LeGarrette Blount
87,87,Rueben Randle,16.0,Rueben Randle
88,88,Richard Rodgers,16.0,Richard Rodgers
89,89,Donte Moncrief,15.5,Donte Moncrief
90,90,Greg Olsen,15.8,Greg Olsen
