,Unnamed: 0,player,opp,pass_yards,pass_tds,int,rush_yards,rush_tds,rec_yards,rec_tds,fum_td,2-pt,fl,fan_pts,rec,punt_td,kick_td
0,0,Drew Brees QB - NO View News View Videos,@PHI,322.0,3.0,1.0,3.0,0.0,0.0,0.0,0,0,0.0,23.18,0.0,0,0
1,1,Aaron Rodgers QB - GB View News View Videos,STL,315.0,2.0,0.0,16.0,0.0,0.0,0.0,0,0,0.0,22.2,0.0,0,0
2,2,Eddie Lacy RB - GB View News View Videos,STL,0.0,0.0,0.0,113.0,1.0,34.0,0.0,0,0,0.0,20.7,3.4,0,0
3,3,Russell Wilson QB - SEA View News View Videos,@CIN,208.0,1.0,1.0,40.0,1.0,0.0,0.0,0,0,0.0,20.32,0.0,0,0
4,4,Tom Brady QB - NE View News View Videos,@DAL,299.0,2.0,0.0,3.0,0.0,0.0,0.0,0,0,0.0,20.26,0.0,0,0
5,5,Le'Veon Bell RB - PIT View Videos,@SD,0.0,0.0,0.0,91.0,1.0,46.0,0.0,0,0,0.0,19.7,4.6,0,0
6,6,Matt Ryan QB - ATL View News View Videos,WAS,319.0,2.0,1.0,7.0,0.0,0.0,0.0,0,0,0.0,19.46,0.0,0,0
7,7,Matt Forte RB - CHI View Videos,@KC,0.0,0.0,0.0,89.0,1.0,45.0,0.0,0,0,0.0,19.4,4.5,0,0
8,8,Carson Palmer QB - ARI View News View Videos,@DET,301.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0,0.0,18.34,0.0,0,0
9,9,Philip Rivers QB - SD,PIT,290.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0,0.0,17.8,0.0,0,0
10,10,Devonta Freeman RB - ATL View News View Videos,WAS,0.0,0.0,0.0,81.0,1.0,35.0,0.0,0,0,0.0,17.6,3.5,0,0
11,11,Matthew Stafford QB - DET View News View Videos,ARI,273.0,2.0,1.0,5.0,0.0,0.0,0.0,0,0,0.0,17.42,0.0,0,0
12,12,Julio Jones WR - ATL View News View Videos,WAS,0.0,0.0,0.0,1.0,0.0,112.0,1.0,0,0,0.0,17.3,11.2,0,0
13,13,Nick Foles QB - STL View Videos,@GB,271.0,2.0,1.0,3.0,0.0,0.0,0.0,0,0,0.0,17.14,0.0,0,0
